sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.3831;-0.2298;9.845;0.3474;-0.1768;9.7989;-0.0262;0.0585;0.0032;-0.0073;-0.0024;0.0;320.0;-15.84;9.72;0.42;58.01;1.03;-2.05;0.0;46.522;24.789295;120.99851;;;2812.903;88.7;99.0;4.198;18;2014-03-03 15:32:39:229
0.3448;-0.1915;9.845;0.3506;-0.1856;9.7986;-0.0608;0.0421;0.0036;-0.0061;0.0061;0.0012;320.0;-16.02;9.96;0.36;58.01;1.07;-2.07;0.0;45.993;24.789295;120.99851;;;2812.903;88.7;99.0;4.198;518;2014-03-03 15:32:39:729
0.3065;-0.1915;9.845;0.3503;-0.1929;9.7985;-0.046;0.0367;0.0027;-0.0073;0.0;-0.0024;320.0;-15.72;10.26;-0.48;58.01;1.13;-2.05;0.0;38.635;24.789295;120.99851;;;2812.903;88.7;99.0;4.198;1018;2014-03-03 15:32:40:229
0.3831;-0.1149;9.7683;0.3414;-0.1949;9.7988;0.0525;-0.0134;-0.0016;0.0061;0.0049;0.0024;320.0;-16.02;10.2;-0.36;58.01;1.15;-1.98;0.0;50.876;24.789295;120.99851;;;2812.903;88.7;99.0;4.198;1532;2014-03-03 15:32:40:743
