[0.62376559, 0.31447053, 0.57201207;
  0, 0.033174753, 0.46987563;
  0.49943247, 0.067167297, 0.46499521;
  0.74343735, 0.092890307, 0.46316445;
  0.22212297, 0.036237732, 0.46764928;
  0.85166264, 0.23322731, 0.50021249;
  0.33753163, 0.049323589, 0.46640781;
  0.6408096, 0.080914378, 0.46408239;
  0.28953707, 0.32610834, 0.61146474;
  0.44629943, 0.061150804, 0.46538663;
  0.15755197, 0.02760379, 0.46836868;
  0.50408852, 0.32627743, 0.4369849;
  0.64275682, 0.49190617, 0.74611998;
  0.77432913, 0.16931415, 0.45876828;
  0.30683869, 0.066552073, 0.45457759;
  0.085575014, 0.24255854, 0.46114254;
  0.24181265, 0.21261823, 0.52875841;
  0.88100475, 0.10945433, 0.46190616;
  0.84461713, 0.10462979, 0.46220481;
  0.28289449, 0.042593107, 0.46705005;
  0.42581499, 0, 0.41594243;
  0.57651842, 0.21455809, 0.51100427;
  0.78600353, 0.34779614, 0.59488213;
  0.59079909, 0.076102316, 0.4643912;
  0.35374367, 0.26781338, 0.42203769;
  0.49556917, 0.75724447, 1;
  0.39283216, 0.22243236, 0.53495437;
  0.39202493, 0.05496496, 0.46585026;
  0.10507897, 0.27034098, 0.60562897;
  0.65557998, 0.50916862, 0.34903568;
  0.69047856, 0.087805182, 0.46366769;
  0.40735626, 0.12903479, 0.46724406;
  0.63439912, 0.074761733, 0.43269491;
  0.7991854, 0.097829841, 0.46280131;
  0.47935596, 0.32412633, 0.60950595;
  0.14949805, 0.13061713, 0.4830704;
  0.6237604, 0.14672998, 0.45720223;
  0.22077644, 0.47060019, 0.37958509;
  0.70766962, 0.21425548, 0.5079518;
  0.58982825, 0.74546504, 0.27934182;
  0.50346345, 0.15802428, 0.4726235;
  0.24534339, 1, 0;
  0.67628175, 0.29266831, 0.43343055;
  0.097612232, 0.022457138, 0.46889314;
  0.24986008, 0.4755325, 0.78997201;
  1, 0.14321715, 0.46068388;
  0.54639685, 0.074068695, 0.46433756;
  0.93038511, 0.13095295, 0.45923761;
  0.28984571, 0.13016376, 0.47059247;
  0.86208785, 0.34343293, 0.44563729]
