[0.86863446, 0.62371528, 0;
  0.43812248, 0.99383777, 0.6417461;
  0.022253931, 0.86403751, 0.76341814;
  0.93314457, 0.81028265, 0.70215273;
  0.72228181, 0.43853846, 0.58177131;
  0, 0.092958808, 0.21516514;
  0.8864466, 0.44468847, 0.78252429;
  0.77699876, 0.91973466, 0.65517265;
  0.33523256, 0.9739778, 0.66044593;
  0.58586681, 0.58576173, 0.48232293;
  0.0033825636, 0.46156454, 0.74270463;
  0.50313896, 1, 0.62863755;
  0.94130921, 0.19339383, 0.91763377;
  0.0082703233, 0.68264687, 0.91111326;
  0.99251842, 0.72436166, 0.73474026;
  0.8617155, 0.8621006, 0.69896746;
  0.45125315, 0.027888536, 0.44947293;
  0.2412414, 0.72960019, 0.77555323;
  0.39171028, 0.98599863, 0.66185111;
  0.68230379, 0.106493, 0.94783866;
  0.10370246, 0.61203009, 1;
  0.8093639, 0.19591793, 0.98794794;
  0.21326259, 0, 0.65469617;
  1, 0.37442619, 0.77067155;
  0.66725969, 0.93272901, 0.66957533]
