[0, 6, 122, 0, 0, 222, 1, 46, 0, 0, 195, 0, 0, 0, 2, 0, 0, 3, 0, 1, 1, 0, 1, 0, 0;
  0, 6, 114, 0, 0, 221, 2, 37, 3, 0, 164, 0, 0, 0, 24, 0, 0, 10, 0, 1, 9, 0, 8, 0, 1;
  20, 33, 110, 38, 9, 120, 53, 70, 1, 28, 67, 0, 12, 2, 9, 2, 0, 1, 7, 0, 6, 4, 6, 1, 1;
  42, 65, 109, 49, 12, 69, 70, 58, 0, 60, 41, 0, 18, 0, 0, 0, 0, 0, 4, 0, 0, 3, 0, 0, 0;
  36, 58, 123, 43, 18, 78, 65, 52, 0, 54, 49, 0, 14, 0, 0, 1, 0, 0, 5, 0, 0, 4, 0, 0, 0;
  37, 65, 102, 67, 12, 55, 67, 54, 0, 50, 60, 0, 22, 0, 0, 1, 0, 0, 6, 0, 0, 2, 0, 0, 0;
  42, 56, 120, 45, 19, 71, 67, 45, 0, 60, 41, 0, 22, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0, 0, 0;
  37, 61, 111, 65, 9, 64, 68, 57, 0, 43, 46, 0, 28, 0, 0, 3, 0, 0, 4, 0, 0, 4, 0, 0, 0;
  45, 77, 105, 53, 14, 73, 70, 43, 0, 51, 42, 0, 19, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0;
  33, 74, 112, 45, 13, 75, 73, 49, 0, 53, 44, 0, 23, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0;
  37, 61, 114, 52, 29, 76, 78, 41, 0, 38, 44, 0, 21, 0, 0, 1, 0, 0, 6, 0, 0, 2, 0, 0, 0;
  38, 76, 116, 42, 11, 77, 65, 55, 0, 51, 42, 0, 20, 0, 0, 1, 0, 0, 1, 0, 0, 5, 0, 0, 0;
  42, 72, 124, 55, 15, 70, 57, 53, 0, 54, 27, 0, 18, 0, 0, 0, 0, 0, 10, 0, 0, 3, 0, 0, 0;
  34, 67, 124, 36, 14, 74, 65, 57, 0, 49, 41, 0, 29, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0;
  36, 66, 106, 67, 15, 85, 66, 44, 0, 40, 47, 0, 16, 0, 0, 0, 0, 0, 10, 0, 0, 2, 0, 0, 0;
  50, 66, 112, 49, 11, 78, 71, 42, 0, 42, 47, 0, 21, 0, 0, 0, 0, 0, 7, 0, 0, 4, 0, 0, 0;
  35, 54, 122, 59, 12, 74, 69, 47, 0, 53, 46, 0, 16, 0, 0, 1, 0, 0, 6, 0, 0, 6, 0, 0, 0;
  34, 60, 108, 47, 17, 94, 85, 56, 0, 38, 43, 0, 10, 0, 0, 0, 0, 0, 5, 0, 0, 3, 0, 0, 0;
  36, 68, 127, 51, 16, 61, 64, 50, 0, 51, 50, 0, 16, 0, 0, 0, 0, 0, 4, 0, 0, 6, 0, 0, 0;
  35, 70, 115, 60, 11, 80, 69, 40, 0, 41, 49, 0, 17, 0, 0, 1, 0, 0, 8, 0, 0, 4, 0, 0, 0;
  38, 72, 131, 53, 13, 50, 63, 50, 0, 59, 45, 0, 21, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0;
  36, 76, 110, 56, 17, 69, 65, 60, 0, 35, 47, 0, 18, 0, 0, 1, 0, 0, 5, 0, 0, 5, 0, 0, 0;
  38, 79, 101, 55, 20, 77, 61, 53, 0, 44, 41, 0, 20, 0, 0, 2, 0, 0, 5, 0, 0, 4, 0, 0, 0;
  38, 69, 106, 66, 14, 64, 73, 49, 0, 48, 42, 0, 20, 0, 0, 3, 0, 0, 4, 0, 0, 4, 0, 0, 0;
  44, 71, 111, 54, 21, 78, 67, 54, 0, 28, 47, 0, 21, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0;
  50, 57, 119, 54, 19, 60, 79, 39, 0, 43, 42, 0, 28, 0, 0, 0, 0, 0, 4, 0, 0, 6, 0, 0, 0;
  44, 75, 106, 43, 13, 76, 77, 34, 0, 40, 66, 0, 19, 0, 0, 2, 0, 0, 2, 0, 0, 3, 0, 0, 0;
  33, 72, 126, 59, 13, 59, 62, 43, 0, 44, 55, 0, 22, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0, 0, 0;
  36, 72, 109, 40, 12, 81, 76, 46, 0, 49, 45, 0, 25, 0, 0, 1, 0, 0, 6, 0, 0, 2, 0, 0, 0;
  36, 72, 127, 42, 19, 61, 67, 41, 0, 48, 50, 0, 31, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0;
  26, 72, 129, 49, 9, 76, 64, 46, 0, 50, 49, 0, 19, 0, 0, 1, 0, 0, 7, 0, 0, 3, 0, 0, 0;
